,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,District Cooling Raw Data (all values in kWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Date,Administration,Art Building Parkade,Aurora Hall,Biological Science,Child Care Centre,CCIT,Cascade Hall,Child Development Centre,Craigie Hall,Central Heating and Cooling Plant,Clinical Skills,Crowsnest Hall,Dining Centre,Education Complex,EEEL,Engineering Complex,Earth Science,Glacier Hall,High Density Library,Heritage Medical Research Building,Health Research Innovation Centre / TWR,Health Science Centre,ICT,International House,Kananaskis Hall,Kinesiology A,Kinesiology B,Life Science,Mechanical Engineering Building,Murray Fraser Hall,MacEwan Hall,MacKimmie Block,MacKimmie Tower,Math Sciences,MacEwan Student Centre,Olympus Hall,Olympic Oval,Professional Faculties,Physical Plant,Rozsa Centre,Reeve Theater,Rundle Hall,Science A,Science B,Scurfield Hall,Social Sciences,Science Theatres,Taylor Family Digital Library,Taylor Institute,University Research Centre,Wildlife Research Centre,Yamnuska,U of C,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AA,AB,AU,BI,CC,CCIT,CD,CDC,CH,CHCP,CSB,CR,DC,ED,EEEL,ENG,ES,GL,HDL,HMRB,HRIC/TWR,HSC,ICT,IH,KA,KNA,KNB,LS,MEB,MFH,MH,MLB,MLT,MS,MSC,OL,OO,PF,PP,RC,RT,RU,SA,SB,SH,SS,ST,TFDL,TI,URC,WRC,YA,UC,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/16, 	-   , 	-   ,"1,008.33","15,236.12", 	-   ,"3,291.67", 	-   , 	-   ,897.22,, 	-   ,"3,183.34",408.33,"4,041.67","8,180.56","9,219.45","2,433.34",13.89, 	-   ,"9,758.34",18979.28,"38,886.14","4,477.78","2,505.56",0.00, 	-   ,197.22,,, 	-   ,"2,766.67", 	-   , 	-   ,"16,489.18","6,722.23",11.11, 	-   , 	-   , 	-   , 	-   , 	-   ,, 	-   , 	-   , 	-   , 	-   ,"1,166.67","5,597.23",213.89, 	-   , 	-   ,0.00,"155,685.23","88,061.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/16, 	-   , 	-   ,"1,891.67","14,455.57", 	-   ,"3,566.67", 	-   , 	-   ,"3,144.45",, 	-   ,"3,372.22",827.78,"3,872.23","7,825.01","7,450.01","3,380.56",113.89, 	-   ,"11,188.90",20693.75,"42,847.26","4,780.56","4,336.11",0.00, 	-   ,794.45,,, 	-   ,"3,422.22", 	-   , 	-   ,"15,450.91","6,402.78",91.67, 	-   , 	-   , 	-   , 	-   , 	-   ,, 	-   , 	-   , 	-   , 	-   ,916.67,"7,130.56",897.22, 	-   , 	-   ,0.00,"168,853.10","94,123.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/16, 	-   , 	-   ,"2,058.33","8,305.56", 	-   ,"3,002.78", 	-   , 	-   ,"3,747.23",, 	-   ,"3,147.22",519.44,"3,413.89","7,544.45","6,308.34","1,744.45",175.00, 	-   ,"6,327.78",8727.66,"20,502.79","4,958.34","5,197.23",0.00, 	-   ,836.11,,, 	-   ,"3,494.45", 	-   , 	-   ,"14,834.99","5,400.00",144.44, 	-   , 	-   , 	-   , 	-   , 	-   ,, 	-   , 	-   , 	-   , 	-   ,683.33,"5,116.67",986.11, 	-   , 	-   ,0.00,"117,176.61","81,618.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/16, 	-   , 	-   ,"1,361.11","7,036.12", 	-   ,"2,300.00", 	-   , 	-   ,"2,891.67",, 	-   ,"2,677.78",500.00,"3,747.23","7,336.12","6,786.12","1,150.00",111.11, 	-   ,"4,930.56",6512.04,"15,747.23","4,905.56","4,119.45",0.00, 	-   ,694.45,,, 	-   ,"3,297.22", 	-   , 	-   ,"14,993.37","4,377.78",91.67, 	-   , 	-   , 	-   , 	-   , 	-   ,, 	-   , 	-   , 	-   , 	-   ,830.56,"3,138.89",613.89, 	-   , 	-   ,0.00,"100,149.91","72,960.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/16, 	-   , 	-   ,"1,844.45","6,533.34", 	-   ,"2,388.89", 	-   , 	-   ,"3,169.45",, 	-   ,"2,719.45",327.78,"3,955.56","7,361.12","6,608.34","1,019.45",108.33, 	-   ,"4,908.34",7104.04,"16,494.46","4,641.67","4,786.11",0.00, 	-   ,"1,416.67",,, 	-   ,"3,477.78", 	-   , 	-   ,"14,867.25","3,930.56",88.89, 	-   , 	-   , 	-   , 	-   , 	-   ,, 	-   , 	-   , 	-   , 	-   ,"1,050.00","2,447.22",686.11, 	-   , 	-   ,0.00,"101,935.24","73,428.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/16, 	-   , 	-   ,"1,425.00","11,425.01", 	-   ,"3,108.34", 	-   , 	-   ,"2,427.78",, 	-   ,"3,008.34",469.44,"4,386.11","7,541.67","7,908.34","1,658.33",94.44, 	-   ,"7,944.45",12373.46,"28,330.58","5,402.78","3,488.89",0.00, 	-   ,"1,380.56",,, 	-   ,"3,183.34", 	-   , 	-   ,"15,148.81","3,986.11",77.78, 	-   , 	-   , 	-   , 	-   , 	-   ,, 	-   , 	-   , 	-   , 	-   ,"1,280.56","3,700.00",688.89, 	-   , 	-   ,0.00,"130,439.02","81,790.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/16, 	-   , 	-   ,"1,469.45","9,283.34", 	-   ,"3,086.11", 	-   , 	-   ,"3,391.67",, 	-   ,"2,833.34",466.67,"3,905.56","8,052.78","7,772.23","1,888.89",186.11, 	-   ,"7,350.01",12648.95,"27,366.69","4,958.34","3,780.56",0.00, 	-   ,"1,363.89",,, 	-   ,"3,016.67", 	-   , 	-   ,"14,978.70","6,380.56",150.00, 	-   , 	-   , 	-   , 	-   , 	-   ,, 	-   , 	-   , 	-   , 	-   ,"1,058.33","3,422.22",652.78, 	-   , 	-   ,0.00,"129,463.84","82,098.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
