,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electricity Raw Data (all values in kWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Date,Administration,Art Building Parkade,Aurora Hall,Biological Science,Child Care Centre,CCIT,Cascade Hall,Child Development Centre,Craigie Hall,Central Heating and Cooling Plant,Clinical Skills,Crowsnest Hall,Dining Centre,Education Complex,EEEL,Engineering Complex,Earth Science,Glacier Hall,High Density Library,Heritage Medical Research Building,Health Research Innovation Centre / TWR,Health Science Centre,ICT,International House,Kananaskis Hall,Kinesiology A,Kinesiology B,Life Science,Mechanical Engineering Building,Murray Fraser Hall,MacEwan Hall,MacKimmie Block,MacKimmie Tower,Math Sciences,MacEwan Student Centre,Olympus Hall,Olympic Oval,Professional Faculties,Physical Plant,Rozsa Centre,Reeve Theater,Rundle Hall,Science A,Science B,Scurfield Hall,Social Sciences,Science Theatres,Taylor Family Digital Library,Taylor Institute,University Research Centre,Wildlife Research Centre,Yamnuska,U of C,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AA,AB,AU,BI,CC,CCIT,CD,CDC,CH,CHCP,CSB,CR,DC,ED,EEEL,ENG,ES,GL,HDL,HMRB,HRIC/TWR,HSC,ICT,IH,KA,KNA,KNB,LS,MEB,MFH,MH,MLB,MLT,MS,MSC,OL,OO,PF,PP,RC,RT,RU,SA,SB,SH,SS,ST,TFDL,TI,URC,WRC,YA,UC,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/16,"3,544.45","4,394.45","1,858.33","17,191.68",155.56,"7,397.23","2,494.45","1,713.89","4,422.23",0.00,0.00,"3,355.56","4,519.45","7,911.12","10,041.67","16,313.90","11,405.56","1,344.45",0.00,"18,902.79","35,466.70","39,672.25","7,002.78","2,786.11","1,375.00","6,491.67","12,522.23",0.00,"2,836.11","5,341.67","7,738.90","5,005.56","6,822.23","14,369.46","9,252.79","1,091.67","5,102.78","6,447.23","1,425.00",763.89,869.45,"1,563.89","7,794.45","10,147.23","2,938.89","4,823.10","2,288.89","13,241.68","1,222.22",0.00,0.00,"5,130.56","338,501.14"," 	241,623.28 ", 	0.71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/16,"3,502.78","4,394.45","2,013.89","16,997.24",147.22,"7,352.78","2,586.11","1,594.45","3,952.78",0.00,0.00,"3,388.89","4,450.00","7,813.90","9,941.67","16,088.90","11,397.23","1,377.78",0.00,"18,902.79","35,441.70","39,836.14","6,702.78","2,680.56","1,419.45","6,352.78","12,083.34",0.00,"2,800.00","5,244.45","8,075.01","5,030.56","6,936.12","13,997.23","8,811.12","1,119.45","7,936.12","6,333.34","1,580.56",494.44,"1,116.67","1,588.89","7,802.78","9,702.79","2,561.11","5,455.82","2,413.89","13,161.12","1,172.22",0.00,0.00,"5,388.89","339,142.20"," 	242,161.57 ", 	0.71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/16,"4,052.78","4,838.89","1,952.78","18,283.35",280.56,"7,858.34","2,636.11","2,561.11","5,538.89",0.00,0.00,"3,272.22","4,850.00","10,291.67","11,613.90","20,041.68","12,538.90","1,386.11",0.00,"20,191.68","37,288.92","45,150.04","7,850.01","2,700.00","1,447.22","7,172.23","14,030.57",0.00,"2,966.67","7,255.56","9,330.56","5,688.89","7,444.45","14,780.57","10,477.79","1,125.00","7,616.67","8,763.90","2,158.34",663.89,"1,066.67","1,544.45","8,236.12","10,394.45","3,547.23","6,048.15","3,311.11","14,105.57","1,344.45",0.00,0.00,"5,508.34","381,206.78"," 	275,609.47 ", 	0.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/16,"4,400.00","4,750.00","1,861.11","18,572.24",277.78,"7,938.90","2,608.34","2,502.78","5,480.56",0.00,0.00,"3,205.56","5,005.56","10,352.79","12,069.45","19,652.79","12,538.90","1,383.33",0.00,"20,475.02","37,897.25","45,744.48","7,894.45","2,788.89","1,430.56","7,502.78","14,150.01",0.00,"3,005.56","7,444.45","9,650.01","5,802.78","7,447.23","14,608.35","10,683.34","1,122.22","8,250.01","8,988.90","2,150.00","1,058.33","1,102.78","1,580.56","8,447.23","10,291.67","3,894.45","6,046.12","3,363.89","14,272.23","1,361.11",0.00,0.00,"5,516.67","386,571.42"," 	279,449.11 ", 	0.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/16,"5,427.78","4,738.89","1,886.11","18,647.24",302.78,"7,802.78","2,547.22","2,575.00","5,572.23",0.00,0.00,"3,277.78","4,791.67","10,363.90","11,400.01","19,266.68","12,494.45","1,383.33",0.00,"20,361.13","38,019.47","46,263.93","8,013.90","2,816.67","1,372.22","7,322.23","13,805.57",0.00,"2,986.11","7,258.34","9,769.45","5,694.45","7,433.34","14,772.23","10,580.56","1,125.00","8,097.23","8,763.90","2,119.45",950.00,"1,158.33","1,572.22","8,422.23","10,391.67","3,880.56","6,109.91","3,361.11","14,538.90","1,413.89",0.00,0.00,"5,347.23","386,199.10"," 	278,568.46 ", 	0.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/16,"5,502.78","4,663.89","1,963.89","18,500.01",272.22,"7,922.23","2,575.00","2,463.89","5,583.34",0.00,0.00,"3,305.56","4,650.00","10,341.67","11,969.45","18,752.79","12,536.12","1,361.11",0.00,"20,741.68","38,608.36","46,172.26","7,883.34","2,777.78","1,386.11","7,425.01","14,080.57",0.00,"2,988.89","7,391.67","9,883.34","5,666.67","7,477.78","14,733.35","10,708.34","1,102.78","5,088.89","8,925.01","2,100.00",863.89,"1,058.33","1,519.45","8,405.56","10,372.23","3,961.11","6,087.96","3,361.11","14,530.57","1,269.45",0.00,0.00,"5,497.23","384,432.70"," 	275,921.51 ", 	0.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/16,"5,436.12","4,597.23","1,819.45","18,158.35",263.89,"8,000.01","2,483.34","2,480.56","5,427.78",0.00,0.00,"3,263.89","4,547.23","9,991.67","11,400.01","18,772.24","12,172.23","1,308.33",0.00,"20,561.13","38,244.48","46,305.59","7,711.12","2,694.45","1,388.89","7,069.45","13,583.34",0.00,"3,022.22","7,019.45","9,436.12","5,527.78","7,236.12","14,683.35","10,680.56","1,061.11","4,866.67","8,477.78","2,075.00",963.89,"1,002.78","1,538.89","8,111.12","10,572.23","4,069.45","5,883.02","3,186.11","13,961.12","1,191.67",0.00,0.00,"5,350.00","377,597.20"," 	269,463.78 ", 	0.71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/16,"5,002.78","4,455.56","1,983.33","17,016.68",152.78,"7,452.78","2,550.00","1,833.33","4,250.00",0.00,0.00,"3,294.45","4,175.00","8,011.12","10,575.01","14,519.46","11,322.23","1,383.33",0.00,"19,375.02","35,805.58","41,044.48","6,777.78","2,650.00","1,413.89","6,733.34","12,525.01",0.00,"2,819.45","5,538.89","7,572.23","5,252.78","6,805.56","13,977.79","9,186.12","1,125.00","7,261.12","6,688.89","1,391.67",527.78,"1,000.00","1,547.22","7,808.34","9,677.79","2,880.56","5,025.44","2,441.67","13,480.57","1,069.45",0.00,0.00,"5,297.23","342,678.49"," 	243,633.97 ", 	0.71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/16,"4,997.23","4,494.45","1,983.33","16,694.46",150.00,"7,486.12","2,588.89","1,708.33","4,250.00",0.00,0.00,"3,408.34","4,169.45","8,158.34","10,611.12","14,480.57","11,352.79","1,411.11",0.00,"19,958.35","35,341.69","40,258.37","6,661.12","2,677.78","1,433.33","6,730.56","11,802.79",0.00,"2,844.45","5,805.56","6,958.34","5,230.56","6,986.12","13,705.57","8,905.56","1,144.45","4,563.89","7,008.34","1,652.78",686.11,"1,000.00","1,622.22","7,808.34","9,297.23","2,661.11","5,632.46","2,558.34","13,266.68","1,080.56",0.00,0.00,"5,436.12","338,663.28"," 	240,260.42 ", 	0.71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/16,"5,541.67","4,811.11","1,963.89","18,255.57",272.22,"7,877.78","2,536.11","2,483.34","5,480.56",0.00,0.00,"3,347.22","4,600.00","10,341.67","11,522.23","19,269.46","12,316.68","1,363.89",0.00,"20,608.35","38,094.47","45,091.70","7,655.56","2,608.34","1,397.22","7,427.78","13,447.23",0.00,"3,036.11","7,841.67","9,319.45","5,650.00","7,352.78","14,730.57","10,638.90","1,105.56","4,830.56","9,469.45","2,113.89",944.45,933.33,"1,519.45","8,177.78","10,400.01","4,191.67","6,036.14","3,327.78","14,216.68","1,183.33",0.00,0.00,"5,483.34","380,816.99"," 	273,986.35 ", 	0.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
