Path_ID,Path_Point_ID,Loct,Academic_Day,Building_ID,Building_Name,Lat,Lon,Distance_To_Next,Minutes_To_Next,Max_Temp_C,Mean_Temp_C,Total_Precip_mm,Snow_cm,Azimuth_Path,Azimuth_Segment,Speed
2184,1,0:00:00,WINTERTERM_2,Outdoors,Outdoors,51.07724,-114.1262,21.22201364,1.983333333,12.3,5.3,0,1,245.0084604,279.0437204,10.70017494
216,4,0:02:00,WINTERTERM_1,Outdoors,Outdoors,51.0752,-114.1382,0,0,-3.9,-12.4,0,7,0,0,0
2184,2,0:02:00,WINTERTERM_2,Outdoors,Outdoors,51.07727,-114.1265,133.5198125,17.91666667,12.3,5.3,0,1,245.0084604,276.2152315,7.452268606
473,6,0:03:00,SUMMER_TERM_2,Outdoors,Outdoors,51.07482,-114.1316,48.9176758,4.75,28.2,19.7,0,0,0,91.30250439,10.29845806
6275,6,0:03:00,FALL_TERM_1,CD,Cascade Hall,51.07604,-114.137,0,0,10.1,2.1,0,1,138.0903023,0,0
12622,10,0:03:00,FALLEXAMS,Outdoors,Outdoors,51.0751,-114.1333,0,0,-9.7,-15,0,4,0,0,0
18797,0,0:03:00,WEEKEND_WT_1,Outdoors,Outdoors,51.07502,-114.1373,28.91068093,0.816666667,1.6,-2.3,0,14,146.9773435,0,35.40083379
18797,1,0:04:00,WEEKEND_WT_1,YA,Yamnuska Hall,51.07528,-114.1373,57.13814216,1.083333333,1.6,-2.3,0,14,146.9773435,172.9767484,52.74290046
18797,2,0:05:00,WEEKEND_WT_1,Outdoors,Outdoors,51.07477,-114.1372,41.73109434,1,1.6,-2.3,0,14,146.9773435,350.3624424,41.73109434
217,0,0:06:00,WINTERTERM_1,Outdoors,Outdoors,51.07519,-114.1382,27.94550855,4.75,-3.9,-12.4,0,7,0,90,5.883264958
18797,3,0:06:00,WEEKEND_WT_1,Outdoors,Outdoors,51.07514,-114.1373,50.17699503,1.233333333,1.6,-2.3,0,14,146.9773435,155.3101389,40.68405002
473,7,0:07:00,SUMMER_TERM_2,Outdoors,Outdoors,51.07481,-114.1309,49.10686227,4.75,28.2,19.7,0,0,0,275.1966205,10.33828679
18797,4,0:08:00,WEEKEND_WT_1,Outdoors,Outdoors,51.07473,-114.137,0,0,1.6,-2.3,0,14,146.9773435,0,0
6276,0,0:09:00,FALL_TERM_1,Outdoors,Outdoors,51.07592,-114.1363,26.10772238,1.033333333,10.1,2.1,0,1,161.7019994,126.6033247,25.26553779
21282,0,0:09:00,WEEKEND_WT_2,CR,Crowsnest Hall,51.07941,-114.1351,49.7341887,0.55,-15.6,-18.8,0.4,12,107.758199,145.8162802,90.42579763
21282,1,0:09:00,WEEKEND_WT_2,AU,Aurora Hall,51.07904,-114.1347,79.40774042,0.95,-15.6,-18.8,0.4,12,107.758199,104.5991266,83.58709517
6276,1,0:10:00,FALL_TERM_1,Outdoors,Outdoors,51.07578,-114.136,18.08329042,3.35,10.1,2.1,0,1,161.7019994,202.7269576,5.397997141
21282,2,0:10:00,WEEKEND_WT_2,Outdoors,Outdoors,51.07886,-114.1336,95.96132828,1,-15.6,-18.8,0.4,12,107.758199,119.1221969,95.96132828
217,1,0:11:00,WINTERTERM_1,YA,Yamnuska Hall,51.07519,-114.1378,27.94550855,4.766666667,-3.9,-12.4,0,7,0,270,5.862694101
21282,3,0:11:00,WEEKEND_WT_2,Outdoors,Outdoors,51.07844,-114.1324,128.8704389,1.116666667,-15.6,-18.8,0.4,12,107.758199,67.15252857,115.4063632
473,8,0:12:00,SUMMER_TERM_2,Outdoors,Outdoors,51.07485,-114.1316,0,0,28.2,19.7,0,0,0,0,0
21282,4,0:12:00,WEEKEND_WT_2,Outdoors,Outdoors,51.07889,-114.1307,144.7415692,1.05,-15.6,-18.8,0.4,12,107.758199,105.1411864,137.8491136
6276,2,0:13:00,FALL_TERM_1,GL,Glacier Hall,51.07563,-114.1361,26.78567574,1.283333333,10.1,2.1,0,1,161.7019994,308.5130217,20.87195512
